index,uid,cluster,friend_count,status_count,follower_count,friends_day,statuses_day,followers_day,retweet_pro,dmention_pro,reply_pro,retweet_div,reply_div,mention_div,i,we,negate,swear,social,posemo,negemo,body,health,ingest,prostr
0,2,0,138,564,334,0.3791208791,1.5494505495,0.9175824176,0.1247706422,0.1486238532,0.0844036697,4.2386917723,2.9451898912,2.1730142946,0.1201612903,0.0040322581,0.0287096774,0.0132258065,0.0808064516,0.0341935484,0.0483870968,0.0220967742,0.0129032258,0.0377419355,-0.0385321101
1,3,0,118,95,83,9.0769230769,7.3076923077,6.3846153846,0.2555555556,0.3333333333,0.1777777778,2.8114194983,1.5825366228,3.0846519457,0.1065801668,0.0064874884,0.0287303058,0.0092678406,0.0852641335,0.0342910102,0.031510658,0.0176088971,0.0111214087,0.0361445783,0
2,4,0,63,298,117,0.8181818182,3.8701298701,1.5194805195,0.2052238806,0.2462686567,0.3134328358,3.6306176076,3.2551746368,5.2500746934,0.099859353,0.0014064698,0.0300046882,0.0075011721,0.0745428973,0.0534458509,0.0426629161,0.0196905767,0.0309423347,0.0492264416,0.0485074627
3,10,0,75,2446,135,0.0255449591,0.833106267,0.0459809264,0.005126183,0.0512618297,0.054022082,1.9459101491,2.6901080118,2.6767438477,0.0693904233,0.004543226,0.0120934793,0.00205916,0.0689001471,0.0594214741,0.0137604184,0.0129432914,0.0051315574,0.0068311816,0.0003943218
4,31,0,47,2076,210,0.0218604651,0.9655813953,0.0976744186,0.1169560776,0.1256384065,0.0408580184,4.1075658598,2.5639219694,2.824488655,0.1252620067,0.0026428506,0.0299826848,0.0070172241,0.073680853,0.0326255354,0.0362708466,0.0152191743,0.0125307573,0.022418664,-0.0005107252
5,32,0,38,79,29,0.7169811321,1.4905660377,0.5471698113,0.0361445783,0.0722891566,0.0481927711,1.560710409,1.0986122887,7.2175518655,0.1322580645,0,0.0419354839,0.0048387097,0.0274193548,0.0338709677,0.0370967742,0.0209677419,0.0161290323,0.0629032258,0
6,39,0,1561,7867,453,0.5794357832,2.9201930215,0.1681514477,0.1039745628,0.4292527822,0.412718601,3.714916409,4.4364098575,3.5281461354,0.0430444783,0.0039131344,0.0250022403,0.0025390567,0.1157212414,0.0464199301,0.0229411238,0.0073483287,0.0046300445,0.0048690145,0
7,40,0,70,7745,1770,0.0433705081,4.7986369269,1.0966542751,0.042566709,0.084815756,0.1820203304,4.2753848742,3.655885425,5.845695465,0.0946130533,0.003863064,0.0293464806,0.0090707304,0.0741025313,0.0366244077,0.0364963504,0.0128484228,0.0096683314,0.014619883,0
8,41,0,339,1627,275,0.126728972,0.6082242991,0.1028037383,0.2145772595,0.349271137,0.3848396501,3.7134230504,2.7823530233,2.4728812304,0.101365106,0.0070650222,0.0274218656,0.0011974614,0.0891509999,0.0461022632,0.0344270147,0.0044904802,0.0125134714,0.0040713687,0
9,43,0,845,8165,679,1.0242424242,9.896969697,0.823030303,0.2312519611,0.2623156574,0.3966112331,5.3785214267,3.4229678486,3.6814407057,0.0973138361,0.001827863,0.0304776285,0.0069935627,0.0853929905,0.0622665501,0.0371533021,0.0071922435,0.0106890249,0.0109274418,0.0003137747
